query,target
How do you build REST APIs with Gin?,### Day 3: Function Parameters and Return Values
How do you build REST APIs with Gin? (incorrect),### Day 3: Function Parameters and Return Values
How do you build REST APIs with Gin? (wrong section),### Day 3: Function Parameters and Return Values
How do you build REST APIs with Gin? (mismatch),### Day 3: Function Parameters and Return Values
How do you build REST APIs with Gin? (error),### Day 3: Function Parameters and Return Values
How do you write table-driven tests?,### Day 4: Introduction to Debugging and Error Checking
How do you write table-driven tests? (incorrect),### Day 4: Introduction to Debugging and Error Checking
How do you write table-driven tests? (wrong section),### Day 4: Introduction to Debugging and Error Checking
How do you write table-driven tests? (mismatch),### Day 4: Introduction to Debugging and Error Checking
How do you write table-driven tests? (error),### Day 4: Introduction to Debugging and Error Checking
How do you benchmark functions?,### Day 5: Review and a Simple Functions Project
How do you benchmark functions? (incorrect),### Day 5: Review and a Simple Functions Project
How do you benchmark functions? (wrong section),### Day 5: Review and a Simple Functions Project
How do you benchmark functions? (mismatch),### Day 5: Review and a Simple Functions Project
How do you benchmark functions? (error),### Day 5: Review and a Simple Functions Project
How do you run gofmt?,### Day 1: Arrays and Lists – Concepts and Uses
How do you run gofmt? (incorrect),### Day 1: Arrays and Lists – Concepts and Uses
How do you run gofmt? (wrong section),### Day 1: Arrays and Lists – Concepts and Uses
How do you run gofmt? (mismatch),### Day 1: Arrays and Lists – Concepts and Uses
How do you run gofmt? (error),### Day 1: Arrays and Lists – Concepts and Uses
How do you install packages?,### Day 2: Working with Strings
How do you install packages? (incorrect),### Day 2: Working with Strings
How do you install packages? (wrong section),### Day 2: Working with Strings
How do you install packages? (mismatch),### Day 2: Working with Strings
How do you install packages? (error),### Day 2: Working with Strings
How do you use omitempty in JSON?,### Day 3: Introduction to Key-Value Stores (Maps/Dictionaries)
How do you use omitempty in JSON? (incorrect),### Day 3: Introduction to Key-Value Stores (Maps/Dictionaries)
How do you use omitempty in JSON? (wrong section),### Day 3: Introduction to Key-Value Stores (Maps/Dictionaries)
How do you use omitempty in JSON? (mismatch),### Day 3: Introduction to Key-Value Stores (Maps/Dictionaries)
How do you use omitempty in JSON? (error),### Day 3: Introduction to Key-Value Stores (Maps/Dictionaries)
How do you build CLI commands?,### Day 4: Basic Algorithms – Searching and Sorting
How do you build CLI commands? (incorrect),### Day 4: Basic Algorithms – Searching and Sorting
How do you build CLI commands? (wrong section),### Day 4: Basic Algorithms – Searching and Sorting
How do you build CLI commands? (mismatch),### Day 4: Basic Algorithms – Searching and Sorting
How do you build CLI commands? (error),### Day 4: Basic Algorithms – Searching and Sorting
How do you use channels for concurrency?,### Day 5: Mini Project and Review
How do you use channels for concurrency? (incorrect),### Day 5: Mini Project and Review
How do you use channels for concurrency? (wrong section),### Day 5: Mini Project and Review
How do you use channels for concurrency? (mismatch),### Day 5: Mini Project and Review
How do you use channels for concurrency? (error),### Day 5: Mini Project and Review
